Course Code,Course Title,HEI,CATEGORY (ISCED Description),R1 Points
CK301,Law (Pathways) -  3 or 4 years,University College Cork (NUI),Law,533
CK302,Law and French,University College Cork (NUI),Law,545
CK304,Law and Irish,University College Cork (NUI),Law,588
CK307,Law and Business,University College Cork (NUI),Law,589
CK401,Computer Science,University College Cork (NUI),Information and Communication Technologies (ICTs),503
CK402,Biological and Chemical Sciences,University College Cork (NUI),Biological and related sciences,555
CK404,"Biological, Earth and Environmental Sciences",University College Cork (NUI),Biological and related sciences,500
CK405,Genetics,University College Cork (NUI),Biological and related sciences,543
CK406,Chemical Sciences,University College Cork (NUI),Physical sciences,532
CK407,Mathematical Sciences,University College Cork (NUI),Mathematics and statistics,566
CK408,Physics and Astrophysics,University College Cork (NUI),Physical sciences,566
CK409,Industrial Physics - Offered jointly by UCC and CIT,University College Cork (NUI),Physical sciences,465
CK411,Data Science and Analytics,University College Cork (NUI),Information and Communication Technologies (ICTs),531
CK412,Agricultural Science,University College Cork (NUI),Agriculture,506
CK504,Nutritional Sciences,University College Cork (NUI),Biological and related sciences,555
CK505,Food Science,University College Cork (NUI),Manufacturing and processing,463
CK600,Engineering,University College Cork (NUI),Engineering and engineering trades,510
CK606,Architecture - Offered jointly by UCC and CIT,University College Cork (NUI),Architecture and construction,543
CK701,Medicine (Undergraduate Entry - HPAT required),University College Cork (NUI),Health,738
CK702,Dentistry,University College Cork (NUI),Health,625
CK703,Pharmacy,University College Cork (NUI),Health,613
CK704,Occupational Therapy,University College Cork (NUI),Health,601
CK705,Speech and Language Therapy,University College Cork (NUI),Health,568
CK706,Public Health Sciences,University College Cork (NUI),Health,500
CK707,Medical and Health Sciences,University College Cork (NUI),Health,578
CK710,General Nursing,University College Cork (NUI),Health,498
CK712,Children`s and General Nursing (Integrated),University College Cork (NUI),Health,565
CK720,Mental Health Nursing,University College Cork (NUI),Health,455
CK730,Intellectual Disability Nursing,University College Cork (NUI),Health,431
CK740,Midwifery,University College Cork (NUI),Health,509
CK791,Medicine  - Graduate Entry (GAMSAT required),University College Cork (NUI),Health,60
AC120,International Business,American College,Business and administration,294
AC137,Liberal Arts,American College,Humanities (except languages),271
CT125,Computing and IT,CCT College Dublin,Information and Communication Technologies (ICTs),242
CT325,Business,CCT College Dublin,Business and administration,253
CM001,Education - Primary Teaching,Marino Institute of Education,Education,508
CM002,Education - Primary Teaching - Gaeltacht Applicants,Marino Institute of Education,Education,462
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,Marino Institute of Education,Education,513
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),Marino Institute of Education,Education,480
CM010,Education Studies,Marino Institute of Education,Education,382
CM020,Early Childhood Education,Marino Institute of Education,Education,317
DB500,Computing,Dublin Business School,Information and Communication Technologies (ICTs),234
DB502,Computing (Data Analytics and Big Data),Dublin Business School,Information and Communication Technologies (ICTs),267
DB510,Audio Production and Music Project Management,Dublin Business School,Arts,217
DB512,Business Studies,Dublin Business School,Business and administration,243
DB514,Business Studies (Law),Dublin Business School,Business and administration,239
DB515,Business Studies (Human Resource Management),Dublin Business School,Business and administration,242
DB517,Marketing (Event Management),Dublin Business School,Business and administration,233
DB518,Marketing (Digital Media),Dublin Business School,Business and administration,307
DB521,Accounting and Finance,Dublin Business School,Business and administration,243
DB524,Business (Information Systems),Dublin Business School,Information and Communication Technologies (ICTs),247
DB525,Marketing (Digital Media and Cloud Computing),Dublin Business School,Business and administration,288
DB526,Business (Cloud Computing),Dublin Business School,Information and Communication Technologies (ICTs),244
DB527,Applied Social Care,Dublin Business School,Social and behavioural sciences,254
DB531,Marketing,Dublin Business School,Business and administration,288
DB562,Psychology,Dublin Business School,Social and behavioural sciences,244
DB566,Social Science,Dublin Business School,Social and behavioural sciences,262
DB567,Film and Creative Media,Dublin Business School,Arts,245
DB568,Law,Dublin Business School,Law,254
DB569,Business (Psychology),Dublin Business School,Business and administration,240
DC001,Education - Early Childhood Education,Dublin City University,Education,445
DC002,Education - Primary Teaching,Dublin City University,Education,518
DC003,Education - Primary Teaching - Gaeltacht Applicants,Dublin City University,Education,489
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),Dublin City University,Education,451
DC009,Arts (Joint Honours) - Humanities,Dublin City University,Arts,356
DC010,Post Primary Teacher Education - Religious Education and English,Dublin City University,Education,384
DC011,Post Primary Teacher Education - Religious Education and History,Dublin City University,Education,409
DC012,Post Primary Teacher Education - Religious Education and Music,Dublin City University,Education,409
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,Dublin City University,Education,413
DC014,BA in Jazz and Contemporary Music Performance (audition),Dublin City University,Arts,311
DC110,Business Studies International,Dublin City University,Business and administration,498
DC111,Business Studies,Dublin City University,Business and administration,511
DC112,Global Business (France),Dublin City University,Business and administration,542
DC113,Global Business (Germany),Dublin City University,Business and administration,484
DC114,Global Business (Spain),Dublin City University,Business and administration,544
DC115,Accounting and Finance,Dublin City University,Business and administration,544
DC116,Global Business (USA),Dublin City University,Business and administration,613
DC117,Aviation Management / Aviation Management with Pilot Studies,Dublin City University,Business and administration,484
DC118,Gnó agus Gaeilge / Business and Irish,Dublin City University,Business and administration,368
DC119,Global Business (Canada),Dublin City University,Business and administration,601
DC120,Computing for Business,Dublin City University,Information and Communication Technologies (ICTs),403
DC121,Computer Science,Dublin City University,Information and Communication Technologies (ICTs),475
DC123,Data Science,Dublin City University,Information and Communication Technologies (ICTs),501
DC126,Actuarial Mathematics,Dublin City University,Mathematics and statistics,577
DC127,Common Entry into Actuarial and Financial Mathematics,Dublin City University,Mathematics and statistics,541
DC131,Communication Studies,Dublin City University,Journalism and information,421
DC132,Journalism,Dublin City University,Journalism and information,452
DC133,Multimedia,Dublin City University,Arts,435
DC155,Applied Language and Translation Studies,Dublin City University,Languages,427
DC161,Analytical Science,Dublin City University,Physical sciences,498
DC162,Chemical and Pharmaceutical Sciences,Dublin City University,Physical sciences,531
DC163,Chemical Sciences General Entry (Undenominated Entry),Dublin City University,Physical sciences,466
DC166,Environmental Science and Technology,Dublin City University,Environment,423
DC168,Genetics and Cell Biology,Dublin City University,Biological and related sciences,543
DC175,Physics General Entry (options),Dublin City University,Physical sciences,400
DC180,Biological Sciences General Entry (Undenominated Entry),Dublin City University,Biological and related sciences,530
DC181,Biotechnology,Dublin City University,Biological and related sciences,530
