CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,450,,,,450,,450,8,Cork Institute of Technology,#,,
Arts,Fine Art at CIT Crawford College of Art and Design,CR220,400,,,,400,,400,8,Cork Institute of Technology,#,,
Arts,Photography with New Media at CIT Crawford College of Art and Design,CR225,435,,,,435,,560,8,Cork Institute of Technology,#,avp,
Physical sciences,Physical Sciences (Common Entry),CR300,260,,,,260,,565,7,Cork Institute of Technology,,,
Physical sciences,Physical Sciences (Common Entry),CR305,260,,,,260,,357,8,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),IT Management,CR310,347,,,,347,,372,8,Cork Institute of Technology,,,
Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,590,*,,,590,*,601,8,Cork Institute of Technology,,,
Biological and related sciences,Pharmaceutical Biotechnology,CR325,466,,,,466,,488,8,Cork Institute of Technology,,,
Health,Nutrition and Health Science,CR333,425,,,,425,,455,8,Cork Institute of Technology,,,
Biological and related sciences,Biological Sciences (Common Entry),CR335,473,,,,473,,507,8,Cork Institute of Technology,,,
Physical sciences,Analytical Chemistry with Quality Assurance,CR340,327,,,,327,,400,8,Cork Institute of Technology,,,
Physical sciences,Instrument Engineering,CR360,301,,,,301,,378,8,Cork Institute of Technology,,,
Environment,Environmental Science and Sustainable Technology,CR365,262,,,,262,,347,8,Cork Institute of Technology,,,
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,368,,,,368,,423,8,Cork Institute of Technology,,,
Business and administration,Accounting,CR400,315,,,,315,,423,8,Cork Institute of Technology,,,
Business and administration,Marketing,CR420,290,,,,290,,357,8,Cork Institute of Technology,,,
Business and administration,International Business with Language,CR425,279,,,,279,,419,8,Cork Institute of Technology,,,
Personal services,Sport and Exercise Management,CR430,402,,,,402,,434,8,Cork Institute of Technology,,,
Education,Montessori Education,CR440,409,,408,,408,,431,8,Cork Institute of Technology,,,
Engineering and engineering trades,Engineering (Common Entry),CR500,475,,,,475,,499,8,Cork Institute of Technology,,,
Environment,Sustainable Energy Engineering,CR510,320,,,,320,,393,8,Cork Institute of Technology,,,
Health,Biomedical Engineering,CR520,444,,,,444,,498,8,Cork Institute of Technology,,,
Architecture and construction,Architectural Technology,CR560,375,,,,375,,436,8,Cork Institute of Technology,,,
Architecture and construction,Interior Architecture,CR565,431,,,,431,,465,8,Cork Institute of Technology,,,
Architecture and construction,Quantity Surveying,CR570,375,,,,375,,429,8,Cork Institute of Technology,,,
Architecture and construction,Construction Management,CR572,300,,,,300,,349,8,Cork Institute of Technology,,,
Engineering and engineering trades,Electrical Engineering,CR580,342,,,,342,,401,8,Cork Institute of Technology,,,
Engineering and engineering trades,Electronic Engineering,CR590,329,,,,329,,409,8,Cork Institute of Technology,,,
Arts,Visual Communications at CIT Crawford College of Art and Design,CR600,280,,,,280,,510,8,Cork Institute of Technology,#,,
Welfare,Early Childhood Education and Care,CR620,397,,377,,336,,466,7,Cork Institute of Technology,,,
Personal services,Culinary Arts,CR640,220,,178,,174,,399,7,Cork Institute of Technology,,avp,
Personal services,Beverage Industry Management,CR650,193,,162,,162,,367,7,Cork Institute of Technology,,avp,
Personal services,Culinary Studies,CR655,196,,113,,113,,320,6,Cork Institute of Technology,,avp,
Personal services,Hospitality Studies,CR657,171,,,,171,,261,6,Cork Institute of Technology,,,
Personal services,Tourism Management,CR660,246,,,,246,,328,8,Cork Institute of Technology,,,
Arts,Theatre and Drama Studies at CIT Cork School of Music,CR700,609,,609,,609,,894,8,Cork Institute of Technology,#,avp,
Engineering and engineering trades,Marine Electrotechnology at National Maritime College of Ireland,CR805,229,,,,229,,445,7,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),Information Technology,CR888,300,,,,300,,391,7,Cork Institute of Technology,,,
Education,Home Economics and Business,CR930,518,*,,,510,*,542,8,Cork Institute of Technology,,,
Arts,Arts - 3 years,CK101,300,,,,300,,400,8,University College Cork (NUI),,,
Social and behavioural sciences,Social Science,CK102,434,,431,,420,,462,8,University College Cork (NUI),,,
Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,339,,,,339,,485,8,University College Cork (NUI),#,,
Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,421,,420,*,420,,488,8,University College Cork (NUI),,,
Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,312,,,,312,,425,8,University College Cork (NUI),,,
Languages,Arts International - 4 years,CK108,440,*,440,,440,,487,8,University College Cork (NUI),,,
Languages,English - 3 years or 4 years (International Pathway),CK109,367,,357,,352,,462,8,University College Cork (NUI),,,
Languages,World Languages,CK110,488,,,,488,,522,8,University College Cork (NUI),,,
Welfare,Early Years and Childhood Studies,CK111,409,,403,,378,,445,8,University College Cork (NUI),,,
Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,371,,,,371,,533,8,University College Cork (NUI),#,,
Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,464,,463,,456,,486,8,University College Cork (NUI),,,
Welfare,Social Science (Youth and Community Work),CK114,#,,,,#,,,8,University College Cork (NUI),#,,
Welfare,Social Work - Mature Applicants only,CK115,,,,,,,,8,University College Cork (NUI),,,
Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,347,,339,,339,,444,8,University College Cork (NUI),,,
Social and behavioural sciences,Applied Psychology,CK120,544,,543,*,543,*,555,8,University College Cork (NUI),,,
Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,499,,488,,478,,522,8,University College Cork (NUI),,,
Social and behavioural sciences,Government and Political Science,CK122,399,,,,397,,465,8,University College Cork (NUI),,,
Humanities (except languages),Anthropology,CK123,308,,,,308,,429,8,University College Cork (NUI),,,
Education,Education - Gaeilge,CK124,473,,,,473,,522,8,University College Cork (NUI),,,
Education,Sports Studies and Physical Education,CK125,564,,555,*,555,*,589,8,University College Cork (NUI),,,
Business and administration,Commerce,CK201,500,,499,*,499,*,532,8,University College Cork (NUI),,,
Business and administration,Accounting,CK202,553,,543,*,532,*,566,8,University College Cork (NUI),,,
Information and Communication Technologies (ICTs),Business Information Systems,CK203,455,,452,,445,,490,8,University College Cork (NUI),,,
Business and administration,Finance,CK204,566,*,566,*,566,,601,8,University College Cork (NUI),,,
Business and administration,Commerce (International) with French,CK205,465,,,,462,,522,8,University College Cork (NUI),,,
Business and administration,Commerce (International) with German,CK206,466,,455,,455,,521,8,University College Cork (NUI),,,
Business and administration,Commerce (International) with Italian,CK207,423,,418,,418,,441,8,University College Cork (NUI),,,
Business and administration,Commerce (International) with Hispanic Studies,CK208,488,,486,,477,,528,8,University College Cork (NUI),,,
Business and administration,Commerce (International) with Irish,CK209,507,,,,507,,534,8,University College Cork (NUI),,,
Business and administration,Commerce (International) with Chinese Studies,CK211,385,,,,385,,477,8,University College Cork (NUI),,,
Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,445,,444,,431,,474,8,University College Cork (NUI),,,
Business and administration,Food Marketing and Entrepreneurship,CK213,466,,,,466,,498,8,University College Cork (NUI),,,
Social and behavioural sciences,International Development,CK214,332,,,,332,,451,8,University College Cork (NUI),,,
Law,Law (Pathways) -  3 or 4 years,CK301,533,,532,*,532,,556,8,University College Cork (NUI),,,
Law,Law and French,CK302,545,,,,545,,564,8,University College Cork (NUI),,,
Law,Law and Irish,CK304,588,,,,588,,601,8,University College Cork (NUI),,,
Law,Law and Business,CK307,589,*,589,*,589,,601,8,University College Cork (NUI),,,
Information and Communication Technologies (ICTs),Computer Science,CK401,503,,495,,488,,531,8,University College Cork (NUI),,,
Biological and related sciences,Biological and Chemical Sciences,CK402,555,*,555,,554,*,577,8,University College Cork (NUI),,,
Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,500,,495,*,487,*,521,8,University College Cork (NUI),,,
Biological and related sciences,Genetics,CK405,543,,,,533,,554,8,University College Cork (NUI),,,
Physical sciences,Chemical Sciences,CK406,532,,,,532,,554,8,University College Cork (NUI),,,
Mathematics and statistics,Mathematical Sciences,CK407,566,,,,566,,601,8,University College Cork (NUI),,,
Physical sciences,Physics and Astrophysics,CK408,566,,,,555,,601,8,University College Cork (NUI),,,
Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,465,,,,465,,509,8,University College Cork (NUI),,,
Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,531,,,,531,,577,8,University College Cork (NUI),,,
Agriculture,Agricultural Science,CK412,506,,,,506,,544,8,University College Cork (NUI),,,
Biological and related sciences,Nutritional Sciences,CK504,555,,554,*,544,*,566,8,University College Cork (NUI),,,
Manufacturing and processing,Food Science,CK505,463,,,,463,,489,8,University College Cork (NUI),,,
Engineering and engineering trades,Engineering,CK600,510,,509,*,499,,555,8,University College Cork (NUI),,,
Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,543,,,,543,,565,8,University College Cork (NUI),,,
Health,Medicine (Undergraduate Entry - HPAT required),CK701,738,,737,*,737,*,743,8,University College Cork (NUI),#,,
Health,Dentistry,CK702,625,*,625,*,625,*,625,8,University College Cork (NUI),,,
Health,Pharmacy,CK703,613,*,613,*,613,*,625,8,University College Cork (NUI),,,
Health,Occupational Therapy,CK704,601,*,,,590,*,602,8,University College Cork (NUI),,,
Health,Speech and Language Therapy,CK705,568,,566,*,566,,589,8,University College Cork (NUI),,,
Health,Public Health Sciences,CK706,500,,,,500,,532,8,University College Cork (NUI),,,
Health,Medical and Health Sciences,CK707,578,*,,,578,*,601,8,University College Cork (NUI),,,
Health,General Nursing,CK710,498,*,497,*,495,*,519,8,University College Cork (NUI),,,
