CATEGORY,COURSE CODE2,COURSE TITLE,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
Architecture and construction,CR570,Quantity Surveying,336,,,,336,,392,8,Cork Institute of Technology,,,
Architecture and construction,CR572,Construction Management,269,,,,269,,318,8,Cork Institute of Technology,,,
Engineering and engineering trades,CR580,Electrical Engineering,318,,,,318,,377,8,Cork Institute of Technology,,,
Engineering and engineering trades,CR590,Electronic Engineering,303,,,,303,,379,8,Cork Institute of Technology,,,
Arts,CR600,Visual Communications,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
Welfare,CR620,Early Childhood Education and Care,365,,357,,357,,454,7,Cork Institute of Technology,,,
Personal services,CR640,Culinary Arts,244,,,,244,,392,7,Cork Institute of Technology,,,
Personal services,CR650,Beverage Industry Management,209,,,,209,,316,7,Cork Institute of Technology,,,
Personal services,CR655,Culinary Studies,189,,,,189,,290,6,Cork Institute of Technology,,,
Personal services,CR657,Hospitality Studies,180,,163,,163,,198,6,Cork Institute of Technology,,,
Personal services,CR660,Tourism Management,252,,,,252,,325,8,Cork Institute of Technology,,,
Arts,CR700,Theatre and Drama Studies at CIT Cork School of Music,740,,645,,645,,982,8,Cork Institute of Technology,#,,
Engineering and engineering trades,CR805,Marine Electrotechnology at National Maritime College of Ireland,235,,,,235,,326,7,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),CR888,Information Technology,290,,,,290,,372,7,Cork Institute of Technology,,,
Information and Communication Technologies (ICTs),CT110,Computing in Information Technology,210,,,,210,,400,6,CCT College Dublin,,,
Information and Communication Technologies (ICTs),CT116,Information Technology,219,,,,219,,263,7,CCT College Dublin,,,
Information and Communication Technologies (ICTs),CT125,Information Technology,220,,,,220,,299,8,CCT College Dublin,,avp,
Business and administration,CT325,Business,338,,,,281,,338,8,CCT College Dublin,,avp,
Business and administration,CW006,Business,AQA,,AQA,,AQA,,254,6,"Institute of Technology, Carlow",,avp,
Business and administration,CW018,Business (options),298,,248,,248,,312,8,"Institute of Technology, Carlow",,,
