Course Code,Institution,INSTITUTION,EOS,Mid
GC305,Griffith College,International Hospitality Management (Limerick),327,327
GC400,Griffith College,Business Studies (Dublin),246,297
GC401,Griffith College,Accounting and Finance (Dublin),181,309
GC402,Griffith College,"Business Studies (HRM, Dublin)",217,290
GC403,Griffith College,Law (Dublin),225,308
GC405,Griffith College,International Hospitality Management (Dublin),254,272
GC407,Griffith College,"Business Studies (Marketing, Dublin)",246,330
GC430,Griffith College,Computing Science (Dublin),217,269
GC450,Griffith College,Journalism and Visual Media (Dublin),227,307
GC462,Griffith College,Design Communication (Dublin),,
GC489,Griffith College,Interior Architecture (Dublin),#267,361
GC494,Griffith College,Fashion Design (Dublin),#,
ID001,ICD Business School,Accounting and Finance,229,291
ID002,ICD Business School,Business Studies,285,366
ID003,ICD Business School,Business Studies with Chinese,,
BN101,Technological University Dublin Blanchardstown Campus,Business,252,289
BN103,Technological University Dublin Blanchardstown Campus,Business and Information Technology,254,290
BN104,Technological University Dublin Blanchardstown Campus,Computing (Information Technology),260,293
BN107,Technological University Dublin Blanchardstown Campus,Applied Social Studies in Social Care,300,328
BN108,Technological University Dublin Blanchardstown Campus,Engineering (Common Entry with Award options),271,318
BN109,Technological University Dublin Blanchardstown Campus,Business (Common Entry with Award options),260,279
BN110,Technological University Dublin Blanchardstown Campus,International Business,253,308
BN111,Technological University Dublin Blanchardstown Campus,Sports Management and Coaching,270,298
BN112,Technological University Dublin Blanchardstown Campus,Creative Digital Media,280,329
BN113,Technological University Dublin Blanchardstown Campus,Horticulture,289,321
BN114,Technological University Dublin Blanchardstown Campus,Accounting and Finance,280,332
BN115,Technological University Dublin Blanchardstown Campus,Community and Youth Development,250,298
BN117,Technological University Dublin Blanchardstown Campus,Computer Engineering in Mobile Systems,273,311
BN118,Technological University Dublin Blanchardstown Campus,Early Childhood Care and Education,290,320
BN119,Technological University Dublin Blanchardstown Campus,Digital Marketing,270,308
BN120,Technological University Dublin Blanchardstown Campus,Digital Forensics and Cyber Security,281,326
BN121,Technological University Dublin Blanchardstown Campus,Mechatronic Engineering,276,340
